Column1;Column2;Column3
Reny Pebruary;a year ago;Very good, educational tour. The place is very spacious. There are playgrounds. Really enjoyed the picnic time here
An'nisa Deswinda;2 years ago;"The current ticket price is 150k for 3 destinations.
Secret zoo stones. Eco green park. And selfie memory
But there's not enough time because it's so big 😅 …"
Jw;2 weeks ago;Very good, suitable for children who want to learn about animals. Elderly friendly too, because there are lots of seats provided in each area 🥰 …
Mahasura hidayat sano suprapto Sano;a month ago;Always a place of reference when on holiday with children
Lara Pamungkas;a year ago;Worth it to bring the children. You can visit everything in one day, the animal museum and eco green park. There are lots of places to eat and the prices are not expensive so you don't need to bring food because you will definitely be checked too.
buyung mahendra;a year ago;The best and coolest rides in East Java. Jatim Park 2 pays 160 thousand for rides and you can enjoy 3 rides in Jakarta Bogor (TMII, Dufan, Taman Safari). …
Else;10 months ago;"More animals
There are only a few game rides
There is a swimming pool for children …"
Putri Setyowati;3 years ago;Jatim Park 2 has an animal theme, which can be an additional tourist attraction besides the safari park. Animals are many and varied compared to zoos. There is also a wildlife museum to introduce fossils of extinct animals. There are …
Gen- 477 official;2 months ago;Whort it is good for bringing groups or families... Suitable for those who want a complete escape
Bimaa Toro;a year ago;In 2015, there were still lots of animals that I didn't see in other city zoos, but yesterday there seemed to be a bit less, for example snakes and fish seemed less complete, lots of rest areas for just resting/eating were very helpful, but …
R. Yanti;3 months ago;We came here because we saw FYP, we thought the Secret Zoo was really big until we decided to rent an e-bike, but it turned out it wasn't as big as the Rupungan so we couldn't afford to go around to see the animals. We kind of regretted …
Ragil Sasmitasari;a year ago;"Really love coming here!!!!!
Lots to see... Ticket prices are decent, still reasonable!!!
Then the air is also cool, there are many rides that are free to ride. Basically, going to Jatim Park is the same as sports hahaha"
David Wibi;4 years ago;A good tourist spot for all groups, the parking area and rides are very spacious.. Apart from tourism, there is also education.. For animals in large aquariums, unfortunately the water is not clean, the water is cloudy.. If it could be clear, it would definitely be better to look at. .Prepare an umbrella before it rains..
Reka Dio Avianda;a year ago;The ticket price is IDR 140,000 for weekdays, the continuous ticket for the ride is included with the Eco Green Park ticket. Overall really worth it, the animals are complete. But I looked for a cat here and couldn't find one.
Gatricya Acha Rahman;3 months ago;I've been here 4x and don't get bored. The place is good, suitable for ages from small children to adults. For the elderly, you may be able to use a wheelchair. Children use trolleys. …
Suprapti Duo S;2 years ago;"The East Java Group tourist attraction is almost the same in concept
Here it is more about learning about animals from various countries
It feels like just one day around isn't enough …"
Devana R.A;a month ago;3rd time at Jatimpark 2 more✨😍 …
Ayu Marfita;9 months ago;School holidays are fun with educational tours, really worth it, the environment + animals are clean, the place is very spacious 😆 unfortunately the lights were off at the Aquarium …
Ibowen;6 months ago;The area is very wide, various types of animals are here!
Dhl.u;a year ago;"This is an international class zoo park with affordable prices. Truly family destination must visit.
The point is, take your kids from the morning if you want to be satisfied. …"
Norma Dias;2 years ago;"+ good
+ ticket prices according to what you get
+ suitable for family holidays with children …"
anna sofakamal;9 months ago;There must be changes so that it's not (almost) boring, it's still almost the same as 8-9 years ago, new games and rides, so it's more exciting
dian Safitri;3 years ago;East Java Park 2, a place for recreation while educating the family, is very spacious, bigger than Jatim Park 1. During a pandemic like this, it opens at 08.30 - 16.30, the place is quite clean, there are lots of toilets everywhere. But the …
Vita Septia;a year ago;htm 140,000 includes Eco Green Park ticket. I'm really really satisfied. Coming here is suitable for children who are learning to know animals. The entry ticket is cheap because all the areas are free. The place is also very spacious. It is …
Pratiwi Muntanada;8 months ago;I came in the morning around 10 o'clock for season tickets so there wasn't too much of a queue, just bought a ticket and went in. The cage is clean, the area is also clean, very informative in each animal cage. It's really satisfying to go …
Lutfi Naufali;9 months ago;Very clean. Complete service. There are also lots of road signs and rubbish bins. Cheap food prices. Top!
Rizky hari;a week ago;"Educational place for children and adults.. Lots of animals, lots of shows too..
Exciting, worth the ticket price"
Jakfar Ns;5 months ago;Learning to play rides on vacation for families
Reza Ali;2 years ago;Amazing, lots of lessons here. Especially for children. We can see live animals and fossils, we can travel while learning. Entrance tickets are cheaper than the same places in DKI or West Java. Because by buying 1 ticket IDR 130 thousand …
Sam Djimun;2 months ago;Suitable for families, as a means of entertainment and learning, the place is very spacious, fun, enjoyable, because there are a lot of ups and downs, it's good that you have to be healthy, your legs are strong enough to walk. There are 3 …
Gati Aryamukti;3 weeks ago;good... can be educational too... getting to know animals
it's me nurlukito;2 years ago;Batu Secret Zoo is a very good place to learn about animals, the place is clean and well maintained. lots of games for children. …
Michell Natasya;a year ago;2011, I've been here before when the boy was only 3 years old. I wanted to be nostalgic after almost 11 years 😅 but not much has changed. Unfortunately, when I came, I was already late so when I went out to go to the museum it was still there😪. Even though what the boy and Q wanted was the animal museum😔 …
Mega Puspita;a year ago;It's really worth it, in my opinion, between the tours on display and the entrance ticket price... But unfortunately I was late so I didn't get to explore everything. The staff were super friendly and at the children's ride, they only took …
DIDO MUSIC PROJECT;3 months ago;Good. Wide. The fauna is diverse. Suitable for holidays with family and children
samsul huda;11 months ago;"Good for introducing children to types of animals from an early age..

The rides are quite entertaining for adults and children especially..."
Baim Natusha;a month ago;I really enjoy coming here, the animals are well looked after and the place is neatly arranged even though it is spacious but it has been directed via signposts so visitors don't get confused. Basically, if you're on holiday, you want to come here all the time
aiucu nurbailah;a year ago;Good, the place is also clean, just take the family on holiday here, don't forget to stop here if you're tired, if you're tired you can rent an e-bike, guys
Larasati Niken;10 months ago;Last time I went to Eco Gren 1 year ago, now there has been a lot of progress from last time. The toilets have all the water functioning, clean, comfortable, only in some toilets there are frogs 🤣. Thank you eco green …
dessy marantika;a year ago;I've been here twice, but the opening time was 08.30 when Google opened, but it turned out to be 09.30 so I waited 1 hour, but I was able to enter Eco Green Park first while waiting for opening time.
Sri Suharsi;10 months ago;"A little disappointed...
On the online site the price is listed at 140 thousand weekdays
170 holidays. …"
Putri Putri;2 months ago;The most wow, if you walk here, take your kids on a study tour and other days will be even more exciting
Emma Eryanti;3 years ago;Complete tourist attraction. All in one. With a holiday season ticket price of only 150 thousand, it's really worth it. The Covid19 health protocol is implemented well here. Temperature checks with temperature sensors at the entrance and …
Husna Kurniawati;3 years ago;This is my 3rd time traveling here when I already have my husband and children so the moment is really right. It's even more complete with a mix of other rides such as Eco Green Park because it's next to each other and there's lots more. …
Delillaac;a year ago;For a continuous ticket (three places) there's not enough time for 1 day, I'm too tired so I can't enjoy the last place...it's better not to have a continuous ticket...
Maulana Haykal S;2 years ago;A variety of animals from those that live in water and on land can be seen here! And it also includes detailed explanations of the various animals there. For those who are interested or understand these things, this tour is highly recommended for you 👍 …
Dwi Ariyani;2 years ago;Good experience, they have a ramp to enter the zoo and there is an accessible toilet inside the zoo. Have a great time with my family here. And the staff is very helpful. They ensure we wear masks and clean our hands. …
Satriyo Wi;4 years ago;The area itself is separated into 3 main areas, namely the Animal Museum, Eco Green Park and Secret Zoo. Secret Zoo and Eco Green Park have a collection of animals and rides. However, both animal collections as well as games are different …
Oky Zet;4 years ago;"A very educational and cheap family tourist attraction.
There are lots of local and foreign fauna.
Divided into several zones with different animals and nuances, such as reptile …"
Andrian Noor;3 years ago;If your family is planning to visit Jatim Park 2, especially Batu Secret Zoo. I suggest preparing time and not rushing because you have other plans. Because Batu Secret Zoo offers a fun experience for families, especially for children. …
rangga prahadivta;a year ago;"Wow amazing place...
A place that can be used to study animals for children. And lots of interesting rides. …"
R Sekar Elviani Ria Fitri;a year ago;there are quite a lot of animals but there aren't enough animals to explore because they aren't open, when I was in the savannah I expected there to be feeding zebras too but there weren't any, it paid off when traveling around using a …
Dwi Ratna Utami;3 weeks ago;good for those with kids, lots of animals. there's a place to buy cheap stone t-shirts. the rides are free. the haunted house is also fun, pretty scary. there are animals fufufufu
nadiaptra;10 months ago;The cleanest zoo and the concept is good while touring zoos in East Java. When you enter you are greeted by several animals such as giant rats, iguanas, primates, etc. The flow of the trip is good so visitors can see all the animals without …
Lee Anxin;a week ago;Here you can see many animals which may be very interesting and fun for children who have never seen them before.
awan nugroho;4 months ago;"OK, I will try to make a short review about the Jatim Park 2 Drive Thru Park tour.
Here is my review: …"
Hildan Fathoni;a year ago;It's always impressive to visit Jatim Park 2. Many collections of animals are well maintained …
Ratna Aristiya;3 weeks ago;There are lots of exciting rides and attractions... the hotel is also unique, there is a jungle restaurant where the tables rotate by themselves, so we can eat while looking at the mini zoo... the food is all delicious.
Fariq Faiha;4 months ago;Fun and very effective. All day is not enough to explore Jatim park2
Andy Mul;2 years ago;For walking with children, to get to know the animals on this earth, the animal collection is quite large, (recommended to stay overnight if you are from outside the city) because Batu Secret Zoo is very large
Umi Rosyidah;8 months ago;"Last Saturday I went to Jatimpark 2, I just walked around a little, suddenly I was at the exit, I didn't know how to go. Plus the safari is said to be ""not open"" (not even open on weekends). …"
nurlailatul badriyah;3 months ago;This is the third time I've visited here, yesterday I bought one directly for all purposes but only entered the eco green park. We didn't visit Batu Secret Zoo, the animal museum, and the selfie place because we were really tired at Eco …
Windy Yuswita;3 years ago;Really cool, recommended for those with small children. It's spacious, there are lots of animals and the road access is regular so we can see all the animals. Connected to the mini zoo museum, eco green park and instagrammable photo spots
Nihaya;3 years ago;Jatim Park 2 is a good place, very spacious, you can get tourism, you can also get education. And the health protocols are guaranteed to be good, because in every area there are hand washing stations and hand sanitizers, you must wear a …
Erwin Rachmadianto;2 years ago;It was an impressive experience to visit this place... really satisfying walking around watching various animals in the world... there are various exciting rides available to enjoy. Cheap ticket prices... really satisfied...
Hesti Trisnawati;2 years ago;For those who have been to the secret zoo, now you can also go to the Rimba Bu Pet Hall to take a closer look at the cute and beautiful pets, you can also buy knick-knacks. And 1 more Farm Land ride, to interact with cute pets such as rabbits, goats, ponies, etc. At affordable prices. Kids will definitely love it!
Danar Dono;9 months ago;Tourist attraction featuring a mini zoo with various kinds of animals from around the world. Located in Batu City, East Java
nur indah lestari;a year ago;A very suitable place for traveling with the family, in this place there are many rides both for games and for children to learn... in this place there is also a museum, the entrance ticket price is around 100 thousand but satisfaction is …
sulistyorini tri wulandari;4 years ago;Stones always have an interesting place. The contents of the animals in this zoo are not like other zoos. The animals are well looked after and the place is interesting too. The area is very large, traveling around in one day is not enough, because not all places can be visited
Like Febriani;a year ago;I'm really satisfied with coming here, a whole day doesn't seem like enough 😂 according to the ticket price. Clean and comfortable area. The children were very enthusiastic when they entered the zoo and animal museum, it was amazing. On weekends there are regional dance shows in the lobby and other areas. …
SAHABAT BUNDA SHOP KOTA PROBOLINGGO;11 months ago;Child friendly service, comfortable for parents, good tour guide, spacious and safe parking
Valery Kuswandi;2 years ago;For those of you who are strong enough to walk, come here😂, to be honest, I, who like to walk on my feet, can't get enough but it's really fun. …
sri asti;a year ago;Field trip with school children... there's a tour guide... the explanation about the animals is also quite relatable to the children... even with other visitors, it's quite small too... there's animal education, animal feeding too... the …
Naura Lathisya Zafarani;4 months ago;"If you want to come here and get season tickets, you have to come early in the morning so you can get them all.
But my suggestion is that you should prioritize the secret zoo first, especially …"
Rendra Gustriansyah;a year ago;The zoo is large so you can spend the whole day so you don't have time to go to the eco green. Meanwhile, tickets must be purchased as a package with eco green. It's best not to combine ticket prices so that it doesn't seem like you're 'forcing' visitors to go eco green too.
Hendra Soewarno;4 years ago;"Jatim Park 2, or Batu Secret Zoo.
The zoo is designed in a modern style, giving visitors a different sensation from the usual zoo. …"
Jovan Adi WK;a year ago;Complete, spacious and good educational facilities with lots of spots for photos, culinary options too, there is a place selling typical stone souvenirs. Complete and cheap tickets can continue to other rides
Heribertus Sowo;5 years ago;"""Very awesome place and full of education"".
This is a great place for refreshing as well as a complete educational facility about natural fauna. Almost all animals from all over the world are here. …"
Henny Maryan;a year ago;It's really worth it for that price, you can see the complete and extensive range of animals. Directions are also complete and clear. Even though it's busy, it's still comfortable and the food inside isn't too expensive
Sasha Laundry Jombang 081220300288;2 weeks ago;A zoo equipped with rides
arie dwi s;3 years ago;It took quite a long time to get around inside. Don't forget to have breakfast first and bring food and drinks, even if you don't have time to go inside, there are lots of people selling them. When I entered around 10 am I left around 4 pm. …
Sony Hermawan;a year ago;Tourist attraction with education about various types of animals, there are also games in it, there are also e-bikes available for getting around, very suitable for family tourism and providing education to children
Dinda Anggraeni;a year ago;The bathrooms are plentiful and clean. Don't like the food court payment system by card. A little disappointed because it rained there so it wasn't comfortable. The prayer room is leaking but can still be used and is quite comfortable
MOHAMMAD ROCHIB;a year ago;Very fun family recreational entertainment... For children's education. While playing and getting to know many types of animals..
Endro Sulistyanto;a year ago;Educational place for children, so be sure to get tired if you go there because it is very large. It can last all day if you take the package, but you can rent an e-bike so you don't get tired. The price is 150 for 3 hours. Don't forget to bring an umbrella during the rainy season
fory arya;2 years ago;It is very suitable to invite the whole extended family, especially children, to introduce all kinds of animals up close, the facilities are also complete, starting from culinary delights, various types of children's + adult toy rides which …
anggi anggraini;a year ago;A tourist spot that is not boring because it offers a variety of unique and interesting animals, suitable for introducing children to animals, the area is quite large so it is ready for sports 😁 lots of rides from children's games to adults …
QuinaPR;8 months ago;The best! Anyway, lots of photos and videos, always like coming here, comfortable, clean! And it smells really good for a zoo.
dian yuda;a year ago;Even now it's still the best place... I've been here many times, never bored. Very satisfied. Especially for children, really happy. For refreshing, educational, and of course good photos, bro.
Imron Firmansyah;2 years ago;The park is complete with various types of animals, the parking area is large, the place is clean and there are also playgrounds. The toilet location is also strategic...
Age Stikeren;2 months ago;Very fun and educational
Alyaa Azzahra;a year ago;It's really worth visiting for all ages, guys... the place is very interesting and educational😁 …
Dewi Sulistya;3 years ago;The place is very spacious. There are many rare animals and not only from Indonesia. There are playgrounds, a water park, a haunted house, a selfie spot, an animal museum (from various preserved animals), a traveling train, e-bike rental, a …
Rinda Agustina;a year ago;It's really worth it if you come here with your kids, it's really satisfying to go in at 9 and leave at 3 in the afternoon so you don't have time to enter the eco green park.
Andhy Budi Setyawan;11 months ago;For those who don't want to buy bundling tickets, you can come at 1 pm, there are quite a lot of rides in the secret zoo
Ahmad Solikhin;a year ago;Wow, bro. Provide as much time as possible to explore here. There are 4 gate options. The package for 4 rides costs Rp. 160,000 at the moment
Agus B.C;2 years ago;Duh, it's not enough to come here for a day... even though you already have time to stay at the hotel (Tree Inn). 10 am to 5 pm only the Batu Secret Zoo, the animal museum and eco green park are closing time. …
Tedi Irawan;4 days ago;The spacious place is really suitable for children, increasing their knowledge about animals
maria astriana;5 days ago;"The animal collection is complete and well maintained
the game rides are quite satisfying.
Hot parking area"
arifin hadi;a year ago;Good for children to learn about animals. Advice for children is to bring a stroller because the route is long and uphill
Marchel Edgar;2 years ago;For those who want to be satisfied enjoying the animals with the family, it is recommended to go to Jatim Park 2. The animals are quite complete, there are also lots of rides here including a swimming pool for those who want to swim with the family. The playground is also quite complete.
Nadhia afiati;5 years ago;a playground complex consisting of 3 areas, namely the animal museum, secret zoo, and eco green park. I think that among all the tourist attractions in Batu, Jatim Park 2 is the most interesting for families and children. The attractions …
A;5 years ago;Just for fun on the weekend, try taking a trip with your mother to East Java Park 2. Among all the East Java Parks, the series seems to be the one with the most entertainment for parents, Jatim Park 2. Here there are 3 main locations that …
Deddi Effendi;2 years ago;"HTM 150K (08.00-16.30)
HTM 120K (13.00- 16.30)
A concept like a zoo, but neater, cleaner, more diverse, and with more animals. …"
Akbar;4 years ago;"-	Location :
Jatim Park 2 together with the Animal Museum
-	Parking lot : …"
Mohammad Hamdani;2 months ago;A very pleasant tourist spot
Ida Nada;2 years ago;This is a place for children to learn, even babies can get to know animals. The place is clean, neat, nice. It seems like the best zoo in Indonesia is clean hehe. The regular ticket is 120 thousand and gets the Batu Secret Zoo & Animal …
Viona Ryantika;2 years ago;It's best to take the family to see animals. From children to middle school, adults and adults are happy and enjoy it. The water n snack station in the area is also delicious. Have fun...and get knowledge too
viva susanti;4 months ago;I never get bored when I come here. Kids will love it
Nurfita Srilestari;4 years ago;The price is pretty good. But I really like the zoo concept. The thing is, you can see all the animals. Unfortunately I didn't rent the electric scooter hehe …
Mawar LaTuu;7 months ago;If you go to Batu, you must come here, the animals are complete, there is also a pool for children, it's fun to play all day here and you won't get bored
Dewi Sasrika;4 months ago;"A complete tourist attraction besides being good and a lot of knowledge that can be gained.
A day here feels like less. Affordable season ticket prices, free play areas, …"
Affif Surya Diantika Diantika;5 years ago;Not inferior to other safari parks or zoos. The place is very fun to relax with family. But in my opinion, if you relax too much, the time needed to explore all the places there will not be enough, because there is so much to see and enjoy. …
Awan asyahdam;a year ago;Masha Allah, my child is very happy, my child is satisfied with the streets in Jatimpark 2, I am satisfied, the place is good, the staff service is also good, everything is basically the best at JTP2...cool...everything is well organized so visitors don't get tired and confused...a perfect holiday😁 …
florensia wiria;4 years ago;really fun place and really good for taking the kids. with the entrance ticket paid, it includes all games and the water park inside. You can feed animals, and various other activities. The prices of food and drinks are still reasonable. …
vixion trav;a year ago;Great...it's not a waste of coming all the way here...it's satisfying not to have to ride all the rides because you're tired of using the road..
Didik Prasetyo;a year ago;The opening hours for tickets 135 should be moved forward to 11:00 so you can enjoy all the rides. If 13 is not enough, that's enough.
abah umar;2 weeks ago;Suitable for a holiday with family
Lancar Us;a month ago;"If you go to Jatimpark, from Jakarta you have to change the route on Google, don't go via Jombang, exit from Surabaya interchange Singosari...
This is terrible, Google, it gets lost in Jombang, it's a terrible waste of time"
Lintang Agusti;2 years ago;"Anyway, I don't know anymore about East Java Park 2
I swear it's really cool
So I came here on a weekday with no queues at all and there were lots of study …"
Muhammad sakhowi Owii;2 days ago;There are quite a lot of rides... suitable for a family vacation... children are also suitable because there is a zoo
sututu ss;2 months ago;A fun place to holiday with the family, especially children, the children's play area is wide and plentiful, the staff and crew are also friendly, the parking area is also spacious, overall it's ok 🙏 …
Hardyasa Prasetyawan;9 months ago;It's been a long time since I was little to go to the zoo, finally I can see animals again. The animals are well looked after, the place is clean and comfortable.
Royal Wxnter;5 years ago;We visited Jatim Park 2 and the animal museum, at the end of 2018. High Season... and rashee poll... The gate opened at 10.00... because we didn't want traffic jams we left very early.... at 08.00 we arrived, the parking lot is almost …
Triyana Ulandari;2 years ago;Lots of educational tourist attractions with lots of animals and various water games. Love it for zoo tourism. Booking tickets can be done online so you don't have to queue because weekends are usually very busy.
Fitri Puji Lestari;3 years ago;"The place is very educational, if you're tired you can rent an e-bike...
Jatimpark 2 or Batu Scret Zoo is a complex with a wildlife museum and the In Tree Hotel, so you don't need to look for accommodation anymore because there is a …"
Rilly Jonamika;2 years ago;"It's soooooo wide.
A REALLY OK LOCATION FOR FAMILIES, ESPECIALLY FOR CHILDREN TO LEARN A LOT ABOUT THE VARIOUS TYPES OF ANIMALS THAT EXIST FROM SEVERAL REGIONS AND TOURISM PLACES FOR FAMILIES..."
Rekreasi ID;a year ago;The entrance fee is included in the tour package so you cannot choose one tourist attraction, suitable for families, it is recommended to bring your own stroller from home
Mahardhika Raditya;3 years ago;Really cool place. The animals are looked after, starting from the cleanliness of the feed pens, etc. There are shows too, the rides are also free. The route is clearly laid out... Very educational. Can make a fun family holiday, even if …
Ronald Wijaya;5 years ago;"The place is very suitable for events with family and children.

Starting from the entrance, we saw several interesting types of animals. After …"
Chandra Mbura;a year ago;Jatim Park 2 is fun for a walk with the family, especially if you have school-aged children. Take a walk while learning and seeing firsthand the various kinds of animals and plants that exist here. All animals look healthy, well maintained and clean. Excellent.
Omguguh;2 months ago;Withdraw lots of cash, only cash only, starting from paying for tickets to renting electric bicycles, eating, etc. Around 3-4 hours to go around at standard speed
Anisa Kusuma W;2 years ago;This is the third time I have come to Batu Secret Zoo and it is still fun. It's just that these three new rides were missed, namely the seal show, etc. because of the lack of clues about the location of the show.
yusuf alayyubi;4 years ago;Its location on high ground makes Batu Secret Zoo a cool place. What's exciting is that here we make a route to visit all the places in this area, so we only need to follow the route, we can see the animals directly, lots of wild animals …
Dina Dina;5 years ago;Worth to visit. Inside there is Batu Secret Zoo, Animal Museum and Eco Green Park. There are lodging facilities too! Spacious parking area. Friendly for children. For disabled wheelchair users, don't worry, there is road access for …
Steveyogy;3 months ago;Best recreation place✔️👍 …
Lilis Moona;2 years ago;"Jatim Park 2 is part of the Jatim Park group, educational and recreational tourism which is recommended for spending holiday time.
I never get bored even though I often come here, because apart from recreation, …"
Geger San;8 months ago;"Very nice place..
The entertainment is varied and is liked by both children and adults"
kotak imaji;a year ago;Yesterday went to jp2 after 7 years. Almost nothing has changed, maybe there are some new rides. Everything else is the same as before. What's very unfortunate, Safari Farm was closed for some reason yesterday. The rest is still exciting. Moreover, there is animal feeding.
Ima Triharti Lestari;4 months ago;"Everything is good, as said by others..
My only advice specifically for exploring the 5 continents is that the doll must be repaired immediately if it is damaged... …"
Fiori Salsabila;2 years ago;The place is comfortable, the view is towards Canggu beach, there is a lagoona in the middle of the hotel. The downside is that the breakfast menu, in my opinion, is too vegan, which is good, but it would be better if you could choose. The hotel itself is good.
Ira Puspitasari;a year ago;I came with a group of work friends, season tickets for Secret Zoo, Jatimpark 2 and Sweet Memory cost 160 thousand per person, we arrived at the place at half past 11 but unfortunately I couldn't get to Sweet Memory because it was already late at 5 pm, there were various kinds of animals and rides that children like
reskatirini yastika prameswari;2 years ago;"the ticket price is according to what you get.. the place is spacious and the route is well organized.. the animals are complete.. there is a play area, there is interaction with the animals"", buy carrots to eat the animals for only 10k, …"
Mio Perdani;2 weeks ago;Weekday entry 125k
VISI FISIKA;5 years ago;"I went there yesterday, by buying season tickets. 150 thousand, for the museum, Batu Secret Zoo, and Eco Green Park.
From 9 to 5, there was no time to enter the museum. But if you think about …"
Kamboja Kuning Project;4 years ago;"Batu Secret Zoo - Jatim Park 2

Highly recommended zoo. Because it is managed professionally. Where it is very …"
mischa ilma;a year ago;It's boring to get around... But it's fun!! Especially at the secret zoo... lots of animals, also a museum collection... suitable for inviting families, especially children as a learning medium... There are also lots of rides...
daru nugroho;4 months ago;Come early if you oversleep in long traffic jams, tickets are 170 thousand, the animals are well looked after, the road doesn't end until you get tired, there are lots of rides too. See the zoo and play on the rides
blue gum;4 months ago;The place is good, suitable for children's educational tours, the place is also clean. You have to come here early because the end of year holidays are busier and the queues are long
Muslimah Boutique;4 months ago;My child is very happy when invited to play here😍🥰 I've played here 3 times and never feel bored. There are new rides that you can use by car, so you don't get tired of walking😀 …
Aries Apriel Ryan;2 years ago;This tourist spot is very educational for children, there are lots of rides too. Anyway, I'm satisfied if I play here. Hopefully in the future Jatimpark2 will be more innovative, so that visitors won't get bored of traveling there again.
Harris Rachteja;3 years ago;The perfect place to play and learn. Very suitable for all groups ranging from children, students, college students and the general public. In one location we will be treated to several rides that are still on season tickets. Starting from …
Ade Citra (Citraakkkkk);6 years ago;"Batu Secret Zoo is part of Jatim Park 2 in Batu Malang, East Java
This place has become a tourist icon for the Batu area
This place is very educational for children to learn about various kinds of …"
Pek Lingling;9 months ago;The rides are still as good as before... there are also new rides. The maintenance of the place is cool.. It's been repainted..
dinar maharani;11 months ago;When you go in, you're happy, you come out, massage your feet, hehe, it's really true 😁 …
Hendro Prasetyo;2 months ago;This tourist spot is good, unfortunately the dropzoon area for online vehicles has to be paid for and is charged to visitors even just passing through. Please management can set a minimum time of under 10 minutes for free online vehicles, like other tourist attractions
Laksma AS;2 years ago;Not bad... lots of rides and lots of animal collections. The downside is that the information/PA section was less responsive when asked for help in announcing that group members were scattered.
Aloysius kristian;4 years ago;It's a pretty cool place for a holiday with family, girlfriends and friends. Here the place is quite spacious, there are also quite a lot of animals here to explore this place, it is recommended to rent an E-Bike, especially if you are …
Patricia Tiwi;11 months ago;"It's really exciting to enter this place... There are many varieties of animals we can see here...
It's quite far, the road goes around like going through a maze, but the place is cool, not hot... 👍😊 …"
Aan Siden Bagus;a year ago;You won't regret going on holiday here. It's an educational place for children, the rides are also fun to enjoy. Very family 👍🏻👍🏻 …
Nellyana Hartono;4 years ago;the place is very big. There are a variety of animals from complete to rare ones. Just go around everything for a day. There is a free seal show for all visitors at certain times. lots of additional paid games..bs horse riding. trails. etc. recommended for children.
Ramdhan Wijaya;2 months ago;Cheap holiday, full day here, very happy
Diiah Wahidah;9 months ago;"Jatim Park is the best...
The price is also quite good. Inside you can see lots of things and rides"
bunda farel;2 months ago;Tried the drive thru park, it turned out to be that good and really worth it... I recommend that even if you bring a car, it's nice to take an e-car because there is an explanation from the driver and you can feed them carrots so the concept is more like Savari Park but in a smaller version
Erning Kusumaputri;a year ago;Go to Batu Secret Zoo and you can meet various animals there. The most common types of monkeys are found. Apart from that, there are also rides so you can have fun. After going to Batu Secret Zoo, we also went to the animal museum and its …
Maria Kristianti;5 months ago;It's exciting, lots of fun rides, you can schedule it here again anyway
ika mawarni;4 months ago;Really like this place, worth it for the ticket price
uni balqais;11 months ago;"So awesome!!

I'm really satisfied if I come here... …"
Nobel Rizkiyono;4 years ago;A good tourist spot, the facilities are complete, there are performances at certain times, the zoo is neatly arranged, it is recommended that you come here in the morning because the tourist spot is very large, the staff are also friendly, there are E bike rentals here too
Erna Priyati;a year ago;Yesterday I only went to the animal museum and Batu Secret Zoo because I thought it was suitable for my 7 month old son. Clean and comfortable place.
muhammad khairun;10 months ago;One out of a thousand photos can't express how cool and vast this place is, an educational tour that's not for children but for their parents too, the price offered is no less cheap (not bad 160 thousand for a 2-place package). Prepare your …
Puji Argumianto;2 years ago;If you buy a ticket via Traveloka, the promo price is 116k for the secret zoo & animal museum. Enter at 09.30 - 17.30, you can bring snacks & minerals without bringing heavy food. rainy season. Have fun...
Febrianty Rachma;3 years ago;Playing at Jatimpark 2 impressed me and my family. The place is clean and comfortable. Vehicle parking is available. …
Alia Frissilia;4 months ago;"Ask for help to evaluate the security guards at the guard post VERY VERY AROGAN!!! Instead of helping, he shouted ""when there were lots of people. In my opinion, this is a very inappropriate thing to do, especially since this is an …"
Arin Alfiana;5 years ago;I really enjoy it here, I can travel and learn about various kinds of animals in the world. The fun thing is, we can bring food from outside, but inside there are lots of food corners with standard prices. Unfortunately, the route there is …
belanja virtual;a year ago;If you want to come here, make sure you leave early, because the play area is really wide …
Neno Kusuma;a year ago;As someone who rarely handles cash, it's quite difficult to rent an e-bike or buy snacks at the booths provided, everything can only be done in cash. 2023 and they don't even have a QR code or provide debit payments 🥲 So if you're thirsty …
PKBM KARYA MUDA Sjn Bojonegoro;2 months ago;Carrying out advocacy activities for class VI children and their families to also experience field trips at Jatim park 2, Batu City, Kereen
Ines Amalia Rizky;a year ago;East Java Park animal branch, ladies. The place is beautiful because it focuses on seeing various kinds of animals. so no one screams like in JP 1. If you bring children you will definitely ask a lot of questions. there is a place to buy souvenirs too. the food is varied.
Evi Yusetyo;5 years ago;educational recreation area for all ages. Very good for children to have a broader insight into various animals. In Jatim Park 2 you can find almost all local and foreign animals. There is a prayer room for Muslims who want to travel but do …
bertie dwi;a year ago;"The atmosphere is beautiful,.. the view makes for good photos...!!
Prices for standard restaurant food are not too expensive...!! Cm, snacks are a bit mehong...😁 …"
Diah Tritintya;4 months ago;Don't come here during the rainy season, guys... because it rains a lot. Even though it was drizzling all the playing areas were off. So it's really a loss paying a lot of money to only be able to go up one arena because you're queuing, then suddenly it rains
henni nurtanti;a year ago;The place is cool, it's clean.. I've gained more knowledge from recreation. There are lots of playing areas..
Edi Hasyim;6 months ago;A pleasant experience vacationing with family at JTP2. There is a zoo, rides and other supporting facilities.
Laili Nur Rahmadhani;a year ago;"The place is very comfortable
Very good as an educational tourist attraction
A large collection of animals and also good cleanliness of the place"
teguh heriyanto;11 months ago;"The best, you can't get more than this place.
Concept, the best thing about this place is the concept. Amazing, it looks like this is how a zoo should be managed professionally. Facilities, services, …"
aa mhmd;a year ago;Don't let ladies and gentlemen take their children to water rides if you don't want their children to be shouted at by the pool guards. Very not child friendly, even though it is a place for children to play. Several parents, including me, …
